GEOID,NAME,NAMELSAD,ALAND,DISTRICT,TCODE,SCHID
5002156875,Poultney,Poultney town,110223965,Quarry Valley UUSD,492,158
5000357025,Pownal,Pownal town,121146174,Mt. Anthony UHSD,495,159
5000357025,Pownal,Pownal town,121146174,Southwest Vermont UESD,495,159
5002157250,Proctor,Proctor town,19203742,Quarry Valley UUSD,498,160
5002557700,Putney,Putney town,69044547,Windham Southeast SD,504,161
5001758075,Randolph,Randolph town,124240343,Orange Southwest USD,507,162
5002758375,Reading,Reading town,106434498,Mountain Views School District,510,163
5000358600,Readsboro,Readsboro town,93577441,Readsboro,513,164
5001159125,Richford,Richford town,111194664,Enosburgh-Richford UUSD,516,165
5000759275,Richmond,Richmond town,83853391,Mt. Mansfield UUSD,519,166
5000159650,Ripton,Ripton town,127650280,Addison Central USD,522,167
5002760100,Rochester,Rochester town,147227716,Rochester-Stockbridge USD,525,168
5002560250,Rockingham,Rockingham town,107252404,Bellows Falls UHSD,528,169
5002560250,Rockingham,Rockingham town,107252404,Rockingham,528,169
5002360625,Roxbury,Roxbury town,108000616,Montpelier Roxbury School District ,531,170
5002760850,Royalton,Royalton town,104569048,White River Unified District,534,171
5000361000,Rupert,Rupert town,115890477,Metawee School District,537,172
5002161225,Rutland City,Rutland city,19562140,Rutland City,540,173
5002161300,Rutland Town,Rutland town,49353210,Rutland Town,543,174
5000561525,Ryegate,Ryegate town,94703073,Blue Mountain USD,546,175
5000162575,Salisbury,Salisbury town,74956495,Addison Central USD,561,180
5000362875,Sandgate,Sandgate town,109417261,Sandgate,564,181
5000363175,Searsburg,Searsburg town,55124443,Searbsurg,570,182
5000363550,Shaftsbury,Shaftsbury town,111345105,Mt. Anthony UHSD,573,183
5000363550b,Shaftsbury Less NBID,Shaftsbury Less NBID,106018506,Southwest Vermont UESD,573b,183b
5000363550a,Shaftsbury NBID,Shaftsbury NBID,5326598,North Bennington ID,573a,183a
5002763775,Sharon,Sharon town,103103246,Sharon,576,184
5000564075,Sheffield,Sheffield town,84840734,Kingdom East USD,579,185
5000764300,Shelburne,Shelburne town,62874422,Champlain Valley USD,582,186
5001164600,Sheldon,Sheldon town,100080746,Northern Mountain Valley UUSD,585,187
5000165050,Shoreham,Shoreham town,111950012,Addison Central USD,591,189
5002165275,Shrewsbury,Shrewsbury town,129660709,Mill River UUSD,594,190
5002565762,Somerset,Somerset town,65607721,Somerset,597,261
5000766175,South Burlington,South Burlington city,42565245,South Burlington,600,191
5001367000,South Hero,South Hero town,38630491,South Hero,603,192
5002769550,Springfield,Springfield town,127458768,Springfield,606,193
5001161675,Saint Albans City,St. Albans city,5064444,Maple Run USD,549,176
5001161750,Saint Albans Town,St. Albans town,96174593,Maple Run USD,552,177
5000762050,Saint George,St. George town,9505929,Champlain Valley USD,555,178
5000562200,Saint Johnsbury,St. Johnsbury town,94405066,St. Johnsbury,558,179
5000369775,Stamford,Stamford town,102255394,Stamford,609,194
5000569925,Stannard,Stannard town,32742771,Mountain View UESD,612,195
5000569925,Stannard,Stannard town,32742771,Stannard,612,195
5000170075,Starksboro,Starksboro town,117485652,Mt. Abraham USD,615,196
5002770375,Stockbridge,Stockbridge town,118581821,Rochester-Stockbridge USD,618,197
5001570525,Stowe,Stowe town,187660671,Stowe,621,198
5001770675,Strafford,Strafford town,114179722,Strafford,624,199
5002570750,Stratton,Stratton town,119210165,Stratton,627,200
5002171050,Sudbury,Sudbury town,55409219,Otter Valley UUSD,630,201
5000371425,Sunderland,Sunderland town,117158658,Taconic and Green Regional SD,633,202
5000571575,Sutton,Sutton town,99192363,Kingdom East USD,636,203
5001171725,Swanton,Swanton town,124899615,Missisquoi Valley School Distrist,639,204
5001772400,Thetford,Thetford town,112800232,Thetford,642,205
5002172925,Tinmouth,Tinmouth town,74050391,Mill River UUSD,645,206
5001773075,Topsham,Topsham town,126706618,Waits River Valley School District,648,207
5002573300,Townshend,Townshend town,109511616,West River Modified Union Education District,651,208
5001973525,Troy,Troy town,93570425,North Country Sr UHSD,654,209
5001973525,Troy,Troy town,93570425,Troy,654,209
5001773675,Tunbridge,Tunbridge town,115609011,First Branch USD,657,210
5000773975,Underhill,Underhill town,132646841,Mt. Mansfield UUSD,660,212
5000174650,Vergennes,Vergennes city,6359939,Addison Northwest USD,663,213
5002574800,Vernon,Vernon town,50370905,Vernon,666,214
5002574800,Vernon,Vernon town,50370905,Windham Southeast SD,666,214
5001774950,Vershire,Vershire town,93500027,Rivendell Interstate School District,669,215
5000975175,Victory,Victory town,111250313,Northeast Kingdom Choice School District,672,216
5002375325,Waitsfield,Waitsfield town,66688119,Harwood UUSD,675,217
5000575700,Walden,Walden town,100028451,Caledonia Cooperative School District,678,218
5002175925,Wallingford,Wallingford town,110092950,Mill River UUSD,681,219
5000176075,Waltham,Waltham town,23610483,Addison Northwest USD,684,220
5002576225,Wardsboro,Wardsboro town,75685009,River Valleys USD,687,221
5000976337,Warner's Grant,Warner's grant,8286161,Warners Grant,689,262
5002376525,Warren,Warren town,103815929,Harwood UUSD,690,222
5000976562,Warren's Gore,Warren's gore,24532186,Warren Gore,692,263
5001776750,Washington,Washington town,100961054,Echo Valley Community School District,693,223
5002376975,Waterbury,Waterbury town,124716290,Harwood UUSD,696,224
5000577125,Waterford,Waterford town,99155685,Caledonia Cooperative School District,699,225
5001577425,Waterville,Waterville town,40622774,Lamoille North MUSD A,702,226
5001577425,Waterville,Waterville town,40622774,Lamoille North MUSD B,702,226
5002777500,Weathersfield,Weathersfield town,112687152,Weathersfield,705,227
5002177950,Wells,Wells town,57867586,Wells Spring Unified Union District,708,228
5001748175b,Wells River,Wells River,4895006,Blue Mountain USD,426b,136b
5001779975,West Fairlee,West Fairlee town,58588748,Rivendell Interstate School District,714,230
5002180875,West Haven,West Haven town,72838833,Slate Valley UUSD,723,233
5002182300,West Rutland,West Rutland town,46692437,Quarry Valley UUSD,735,237
5002783050,West Windsor,West Windsor town,64025412,Mt. Ascutney SD,738,238
5001980200,Westfield,Westfield town,103368989,North Country Sr UHSD,717,231
5001980200,Westfield,Westfield town,103368989,Westfield,717,231
5000780350,Westford,Westford town,100806173,Essex-Westford ECUUSD,720,232
5002581400,Westminster,Westminster town,116613916,Bellows Falls UHSD,726,234
5002581400,Westminster,Westminster town,116613916,Westminster,726,234
5001981700,Westmore,Westmore town,89218126,Lake Region UHSD,729,235
5001981700,Westmore,Westmore town,89218126,Lake Region Union Elm-Middle SD,729,235
5002782000,Weston,Weston town,91611397,Taconic and Green Regional SD,732,236
5000183275,Weybridge,Weybridge town,44282021,Addison Central USD,741,239
5000583500,Wheelock,Wheelock town,102314218,Kingdom East USD,744,240
5000183800,Whiting,Whiting town,35227609,Otter Valley UUSD,750,241
5002583950,Whitingham,Whitingham town,95204651,Twin Valley USD,753,242
5001784175,Williamstown,Williamstown town,104014501,Paine Mountain School District,756,243
5000784475,Williston,Williston town,78942811,Champlain Valley USD,759,244
5002584700,Wilmington,Wilmington town,104766010,Twin Valley USD,762,245
5002584850,Windham,Windham town,67581474,West River Modified Union Education District,765,246
5002584850,Windham,Windham town,67581474,Windham,765,246
5002784925,Windsor,Windsor town,50267370,Mt. Ascutney SD,768,247
5000385075,Winhall,Winhall town,114093319,Winhall,771,248
5000785150,Winooski,Winooski city,3576484,Winooski ID,774,249
5001585375,Wolcott,Wolcott town,100873611,Wolcott,777,250
5002385525,Woodbury,Woodbury town,97701026,Hazen UHSD,780,251
5002385525,Woodbury,Woodbury town,97701026,Mountain View UESD,780,251
5000385675,Woodford,Woodford town,122653078,Mt. Anthony UHSD,783,252
5000385675,Woodford,Woodford town,122653078,Southwest Vermont UESD,783,252
5002785975,Woodstock,Woodstock town,114095175,Mountain Views School District,786,253
5002386125,Worcester,Worcester town,99860093,Washington Central UUSD,788,254
